,lemma,total,1SG,1SG,1PL,1PL,2SG,2SG,2PL,2PL,3SG,3SG,3PL,3PL,other,other
715,defero,10,2,0.2,0,0,0,0,0,0,0,0,1,0.1,7,0.7
719,deficio1,10,0,0,0,0,2,0.2,0,0,3,0.3,2,0.2,3,0.3
920,dubito1,10,0,0,0,0,3,0.3,1,0.1,2,0.2,0,0,4,0.4
921,duco,10,0,0,0,0,0,0,1,0.1,0,0,0,0,9,0.9
935,educo1,10,0,0,0,0,3,0.3,1,0.1,5,0.5,0,0,1,0.1
1046,excipio1,10,1,0.1,1,0.1,0,0,0,0,4,0.4,1,0.1,3,0.3
1231,fugio,10,2,0.2,0,0,0,0,0,0,0,0,2,0.2,6,0.6
1283,hortor1,10,0,0,0,0,1,0.1,0,0,2,0.2,2,0.2,5,0.5
1318,impero1,10,0,0,0,0,1,0.1,0,0,7,0.7,1,0.1,1,0.1
1719,moror1,10,1,0.1,0,0,0,0,0,0,3,0.3,1,0.1,5,0.5
1752,nego,10,0,0,0,0,2,0.2,0,0,6,0.6,1,0.1,1,0.1
1763,nitor1,10,0,0,0,0,0,0,0,0,4,0.4,0,0,6,0.6
1771,nomino1,10,0,0,2,0.2,0,0,0,0,6,0.6,0,0,2,0.2
1840,occupo,10,0,0,0,0,0,0,0,0,4,0.4,1,0.1,5,0.5
1845,odi1,10,2,0.2,0,0,1,0.1,0,0,2,0.2,3,0.3,2,0.2
1979,permitto1,10,1,0.1,0,0,1,0.1,1,0.1,3,0.3,0,0,4,0.4
2053,porto1,10,0,0,0,0,0,0,0,0,2,0.2,3,0.3,5,0.5
2229,puto,10,1,0.1,0,0,3,0.3,1,0.1,4,0.4,0,0,1,0.1
2240,queror1,10,0,0,0,0,0,0,0,0,3,0.3,0,0,7,0.7
2290,refero,10,0,0,0,0,1,0.1,0,0,5,0.5,2,0.2,2,0.2
2333,reperio1,10,0,0,0,0,0,0,0,0,3,0.3,1,0.1,6,0.6
2393,revoco1,10,1,0.1,0,0,0,0,1,0.1,3,0.3,0,0,5,0.5
2421,sancio,10,0,0,0,0,0,0,0,0,4,0.4,0,0,6,0.6
2454,sedeo,10,0,0,0,0,0,0,0,0,3,0.3,0,0,7,0.7
2528,statuo1,10,2,0.2,1,0.1,1,0.1,3,0.3,3,0.3,0,0,0,0
2554,subicio,10,1,0.1,0,0,0,0,0,0,4,0.4,0,0,5,0.5
182,ambulo1,9,2,0.2222,1,0.1111,0,0,0,0,2,0.222222222222222,2,0.2222,2,0.2222
338,capio,9,1,0.1111,1,0.1111,0,0,0,0,2,0.222222222222222,1,0.1111,4,0.4444
419,colloco,9,0,0,0,0,0,0,0,0,4,0.444444444444444,2,0.2222,3,0.3333
500,condo,9,0,0,0,0,0,0,0,0,5,0.555555555555556,0,0,4,0.4444
509,confero1,9,0,0,0,0,1,0.1111,0,0,1,0.111111111111111,0,0,7,0.7778
567,conscribo,9,0,0,0,0,0,0,0,0,1,0.111111111111111,0,0,8,0.8889
594,constituo1,9,0,0,0,0,0,0,0,0,4,0.444444444444444,4,0.4444,1,0.1111
595,consto,9,0,0,0,0,0,0,0,0,5,0.555555555555556,2,0.2222,2,0.2222
611,contemno1,9,1,0.1111,0,0,2,0.2222,1,0.1111,2,0.222222222222222,0,0,3,0.3333
899,divido,9,0,0,0,0,0,0,0,0,5,0.555555555555556,0,0,4,0.4444
913,domo1,9,0,0,0,0,0,0,0,0,2,0.222222222222222,1,0.1111,6,0.6667
932,edo1,9,1,0.1111,0,0,1,0.1111,0,0,5,0.555555555555556,0,0,2,0.2222
957,eicio,9,0,0,0,0,0,0,0,0,2,0.222222222222222,0,0,7,0.7778
1186,figo1,9,0,0,0,0,0,0,0,0,4,0.444444444444444,0,0,5,0.5556
1199,flecto1,9,0,0,0,0,0,0,0,0,3,0.333333333333333,2,0.2222,4,0.4444
1239,fundo1,9,0,0,0,0,0,0,0,0,2,0.222222222222222,2,0.2222,5,0.5556
1246,gaudeo1,9,1,0.1111,1,0.1111,0,0,0,0,4,0.444444444444444,1,0.1111,2,0.2222
1290,ignosco1,9,1,0.1111,0,0,1,0.1111,3,0.3333,1,0.111111111111111,0,0,3,0.3333
1352,incipio1,9,1,0.1111,0,0,2,0.2222,0,0,2,0.222222222222222,0,0,4,0.4444
1549,jaceo,9,0,0,0,0,2,0.2222,0,0,5,0.555555555555556,0,0,2,0.2222
1565,jungo1,9,0,0,0,0,0,0,0,0,1,0.111111111111111,3,0.3333,5,0.5556
1614,licet,9,0,0,0,0,0,0,0,0,8,0.888888888888889,0,0,1,0.1111
1671,mereo,9,0,0,0,0,1,0.1111,0,0,1,0.111111111111111,1,0.1111,6,0.6667
1680,metuo1,9,0,0,0,0,0,0,0,0,5,0.555555555555556,2,0.2222,2,0.2222
1692,miror,9,1,0.1111,0,0,3,0.3333,0,0,0,0,0,0,5,0.5556
1712,moneo,9,0,0,0,0,0,0,0,0,2,0.222222222222222,1,0.1111,6,0.6667
1717,morior,9,0,0,0,0,0,0,0,0,0,0,0,0,8,0.8889
1767,noceo1,9,0,0,0,0,0,0,0,0,4,0.444444444444444,1,0.1111,4,0.4444
1803,obliviscor1,9,1,0.1111,0,0,0,0,0,0,1,0.111111111111111,0,0,7,0.7778
1834,occido2,9,1,0.1111,0,0,1,0.1111,0,0,4,0.444444444444444,0,0,3,0.3333
1841,occupo1,9,0,0,0,0,0,0,0,0,6,0.666666666666667,2,0.2222,1,0.1111
1847,offero,9,1,0.1111,0,0,0,0,0,0,3,0.333333333333333,1,0.1111,4,0.4444
1877,orior1,9,0,0,0,0,0,0,0,0,2,0.222222222222222,1,0.1111,6,0.6667
1918,patefacio1,9,2,0.2222,0,0,0,0,0,0,3,0.333333333333333,0,0,4,0.4444
2064,postulo1,9,0,0,0,0,1,0.1111,0,0,2,0.222222222222222,5,0.5556,1,0.1111
2185,propero1,9,0,0,0,0,3,0.3333,0,0,3,0.333333333333333,1,0.1111,2,0.2222
2292,reficio,9,4,0.4444,0,0,0,0,0,0,3,0.333333333333333,0,0,2,0.2222
2459,seduco1,9,0,0,0,0,0,0,0,0,7,0.777777777777778,0,0,2,0.2222
2484,signo1,9,0,0,1,0.1111,2,0.2222,0,0,1,0.111111111111111,0,0,5,0.5556
2500,solvo,9,2,0.2222,0,0,0,0,0,0,2,0.222222222222222,1,0.1111,4,0.4444
2632,sustineo1,9,1,0.1111,0,0,1,0.1111,0,0,4,0.444444444444444,1,0.1111,2,0.2222
2646,tendo1,9,0,0,0,0,0,0,0,0,2,0.222222222222222,1,0.1111,6,0.6667
2689,transeo1,9,1,0.1111,0,0,0,0,0,0,3,0.333333333333333,3,0.3333,2,0.2222
2719,turbo1,9,0,0,0,0,0,0,0,0,1,0.111111111111111,1,0.1111,7,0.7778
2731,utor,9,0,0,0,0,1,0.1111,0,0,0,0,0,0,8,0.8889
2751,vendo1,9,3,0.3333,0,0,0,0,0,0,3,0.333333333333333,0,0,3,0.3333
2791,vindico,9,1,0.1111,0,0,0,0,0,0,2,0.222222222222222,0,0,6,0.6667
118,adsum1,8,1,0.125,0,0,1,0.125,0,0,3,0.375,1,0.125,2,0.25
187,amitto,8,1,0.125,0,0,0,0,0,0,5,0.625,0,0,2,0.25
271,assuesco,8,0,0,0,0,1,0.125,0,0,2,0.25,1,0.125,4,0.5
292,audeo,8,0,0,0,0,0,0,0,0,1,0.125,1,0.125,6,0.75
296,aufero,8,0,0,0,0,2,0.25,0,0,4,0.5,0,0,2,0.25
297,aufero1,8,0,0,0,0,0,0,0,0,5,0.625,1,0.125,2,0.25
298,augeo,8,2,0.25,0,0,0,0,0,0,2,0.25,1,0.125,2,0.25
299,augeo1,8,0,0,0,0,0,0,0,0,3,0.375,0,0,5,0.625
345,carpo1,8,0,0,0,0,3,0.375,0,0,1,0.125,1,0.125,3,0.375
379,circumvenio1,8,0,0,0,0,0,0,0,0,1,0.125,0,0,7,0.875
404,cogito,8,1,0.125,0,0,1,0.125,0,0,3,0.375,1,0.125,1,0.125
481,concipio1,8,0,0,0,0,0,0,0,0,6,0.75,1,0.125,1,0.125
510,conficio,8,0,0,0,0,0,0,0,0,1,0.125,0,0,7,0.875
579,considero1,8,3,0.375,0,0,1,0.125,1,0.125,1,0.125,0,0,2,0.25
657,creo,8,2,0.25,0,0,0,0,1,0.125,4,0.5,0,0,1,0.125
792,desidero,8,0,0,0,0,1,0.125,0,0,4,0.5,1,0.125,2,0.25
813,desum1,8,0,0,1,0.125,0,0,0,0,2,0.25,4,0.5,1,0.125
830,devoro1,8,2,0.25,0,0,1,0.125,0,0,4,0.5,0,0,1,0.125
902,divorto1,8,0,0,0,0,0,0,0,0,0,0,0,0,8,1
941,efficio1,8,0,0,0,0,0,0,0,0,4,0.5,2,0.25,2,0.25
953,egeo1,8,1,0.125,0,0,0,0,0,0,2,0.25,2,0.25,3,0.375
955,egredior,8,0,0,0,0,3,0.375,0,0,0,0,0,0,5,0.625
964,eligo,8,1,0.125,0,0,0,0,0,0,0,0,0,0,7,0.875
1041,excido1,8,0,0,0,0,1,0.125,0,0,3,0.375,2,0.25,2,0.25
1045,excipio,8,0,0,0,0,0,0,0,0,3,0.375,1,0.125,4,0.5
1055,excuso,8,0,0,0,0,0,0,0,0,1,0.125,0,0,7,0.875
1169,fateor,8,1,0.125,0,0,1,0.125,0,0,5,0.625,0,0,1,0.125
1191,finio1,8,1,0.125,0,0,0,0,0,0,3,0.375,1,0.125,3,0.375
1219,frango1,8,1,0.125,0,0,0,0,0,0,3,0.375,2,0.25,2,0.25
1347,incendo1,8,0,0,0,0,0,0,0,0,1,0.125,2,0.25,5,0.625
1453,insequor1,8,2,0.25,0,0,0,0,0,0,1,0.125,0,0,5,0.625
1455,insidior,8,0,0,0,0,0,0,0,0,0,0,0,0,8,1
1498,interrogo1,8,1,0.125,0,0,1,0.125,0,0,0,0,0,0,6,0.75
1523,invado1,8,0,0,0,0,1,0.125,0,0,5,0.625,2,0.25,0,0
1554,jacto,8,0,0,0,0,0,0,0,0,3,0.375,3,0.375,2,0.25
1647,mando1,8,0,0,0,0,1,0.125,1,0.125,1,0.125,0,0,5,0.625
1649,maneo,8,0,0,0,0,0,0,0,0,3,0.375,3,0.375,2,0.25
1677,metior1,8,0,0,0,0,2,0.25,0,0,2,0.25,0,0,4,0.5
1713,moneo1,8,3,0.375,1,0.125,0,0,0,0,3,0.375,0,0,1,0.125
1757,nequeo1,8,1,0.125,0,0,0,0,0,0,4,0.5,2,0.25,1,0.125
1782,numero1,8,4,0.5,0,0,2,0.25,0,0,2,0.25,0,0,0,0
1978,permitto,8,0,0,0,0,0,0,0,0,5,0.625,0,0,3,0.375
2025,pingo1,8,0,0,0,0,0,0,0,0,1,0.125,0,0,7,0.875
2050,porrigo1,8,0,0,1,0.125,1,0.125,0,0,4,0.5,0,0,2,0.25
2063,postulo,8,0,0,0,0,1,0.125,0,0,1,0.125,1,0.125,5,0.625
2169,proicio1,8,1,0.125,0,0,0,0,0,0,1,0.125,0,0,6,0.75
2278,redeo1,8,0,0,2,0.25,0,0,0,0,1,0.125,3,0.375,2,0.25
2300,regno1,8,0,0,0,0,1,0.125,0,0,3,0.375,4,0.5,0,0
2326,reor1,8,1,0.125,0,0,1,0.125,0,0,0,0,0,0,6,0.75
2334,repeto,8,1,0.125,0,0,0,0,0,0,1,0.125,0,0,6,0.75
2383,retineo,8,0,0,0,0,1,0.125,0,0,1,0.125,0,0,6,0.75
2384,retineo1,8,0,0,1,0.125,0,0,0,0,2,0.25,1,0.125,4,0.5
2401,rogo,8,0,0,0,0,0,0,0,0,2,0.25,1,0.125,5,0.625
2448,secerno,8,0,0,0,0,0,0,0,0,1,0.125,0,0,7,0.875
2546,suadeo1,8,6,0.75,0,0,0,0,0,0,1,0.125,1,0.125,0,0
2619,surgo1,8,0,0,0,0,1,0.125,0,0,5,0.625,1,0.125,1,0.125
2769,verto1,8,1,0.125,0,0,0,0,0,0,3,0.375,0,0,4,0.5
63,addo1,7,0,0,0,0,1,0.1429,0,0,3,0.428571428571429,0,0,3,0.4286
77,adipiscor,7,0,0,0,0,0,0,0,0,1,0.142857142857143,0,0,6,0.8571
81,adjicio1,7,0,0,0,0,0,0,0,0,6,0.857142857142857,0,0,1,0.1429
127,adverto1,7,0,0,0,0,0,0,0,0,0,0,0,0,7,1
140,affero,7,0,0,0,0,0,0,0,0,2,0.285714285714286,3,0.4286,2,0.2857
240,armo1,7,0,0,0,0,0,0,0,0,1,0.142857142857143,0,0,6,0.8571
322,caedo1,7,1,0.1429,0,0,1,0.1429,0,0,3,0.428571428571429,1,0.1429,1,0.1429
348,caveo,7,0,0,0,0,0,0,0,0,2,0.285714285714286,0,0,5,0.7143
402,coerceo,7,0,0,0,0,0,0,0,0,3,0.428571428571429,1,0.1429,3,0.4286
436,committo,7,0,0,0,0,1,0.1429,0,0,2,0.285714285714286,0,0,4,0.5714
451,comperio1,7,1,0.1429,0,0,1,0.1429,0,0,0,0,0,0,5,0.7143
461,compono1,7,0,0,0,0,1,0.1429,0,0,1,0.142857142857143,0,0,5,0.7143
513,confido1,7,2,0.2857,0,0,1,0.1429,0,0,0,0,0,0,4,0.5714
516,confirmo1,7,0,0,0,0,2,0.2857,0,0,0,0,3,0.4286,2,0.2857
581,consido1,7,0,0,0,0,0,0,0,0,4,0.571428571428571,0,0,3,0.4286
588,conspicio1,7,0,0,0,0,0,0,0,0,4,0.571428571428571,0,0,3,0.4286
600,consulo,7,0,0,0,0,0,0,0,0,1,0.142857142857143,0,0,6,0.8571
603,consummo1,7,0,0,0,0,0,0,0,0,1,0.142857142857143,4,0.5714,2,0.2857
604,consumo,7,0,0,0,0,0,0,0,0,1,0.142857142857143,0,0,6,0.8571
632,convenio,7,0,0,0,0,0,0,0,0,3,0.428571428571429,0,0,4,0.5714
679,custodio1,7,0,0,0,0,0,0,0,0,3,0.428571428571429,4,0.5714,0,0
693,decet1,7,0,0,0,0,0,0,0,0,3,0.428571428571429,1,0.1429,3,0.4286
847,dimitto,7,0,0,0,0,0,0,0,0,2,0.285714285714286,0,0,5,0.7143
897,diverto,7,0,0,0,0,0,0,0,0,0,0,0,0,7,1
905,doceo,7,1,0.1429,0,0,0,0,0,0,1,0.142857142857143,0,0,5,0.7143
915,dono1,7,3,0.4286,0,0,0,0,0,0,3,0.428571428571429,0,0,1,0.1429
938,effero1,7,0,0,0,0,0,0,0,0,3,0.428571428571429,0,0,4,0.5714
998,eripio,7,0,0,0,0,0,0,0,0,3,0.428571428571429,1,0.1429,3,0.4286
1060,exerceo,7,0,0,0,0,0,0,0,0,4,0.571428571428571,0,0,3,0.4286
1073,existimo,7,2,0.2857,0,0,0,0,0,0,1,0.142857142857143,0,0,4,0.5714
1120,exsequor,7,1,0.1429,0,0,0,0,0,0,4,0.571428571428571,1,0.1429,1,0.1429
1188,fingo,7,0,0,0,0,0,0,0,0,2,0.285714285714286,0,0,5,0.7143
1189,fingo1,7,0,0,0,0,0,0,1,0.1429,2,0.285714285714286,0,0,4,0.5714
1299,imitor1,7,0,0,0,0,0,0,0,0,0,0,0,0,7,1
1381,induco1,7,0,0,0,0,1,0.1429,0,0,2,0.285714285714286,1,0.1429,3,0.4286
1463,instituo,7,1,0.1429,0,0,0,0,0,0,6,0.857142857142857,0,0,0,0
1473,insum1,7,0,0,0,0,0,0,0,0,7,1,0,0,0,0
1475,intellego,7,2,0.2857,0,0,0,0,0,0,4,0.571428571428571,1,0.1429,0,0
1478,intendo1,7,0,0,0,0,1,0.1429,0,0,2,0.285714285714286,0,0,4,0.5714
1532,invideo1,7,1,0.1429,0,0,0,0,0,0,1,0.142857142857143,1,0.1429,4,0.5714
1540,irascor,7,0,0,0,0,0,0,0,0,1,0.142857142857143,0,0,6,0.8571
1555,jacto1,7,0,0,0,0,0,0,1,0.1429,3,0.428571428571429,1,0.1429,2,0.2857
1569,juvo1,7,0,0,0,0,0,0,0,0,6,0.857142857142857,0,0,1,0.1429
1574,laboro1,7,0,0,0,0,0,0,0,0,3,0.428571428571429,0,0,4,0.5714
1579,laedo,7,0,0,0,0,0,0,0,0,3,0.428571428571429,1,0.1429,3,0.4286
1668,mentior1,7,2,0.2857,0,0,0,0,0,0,0,0,1,0.1429,4,0.5714
1729,munio1,7,1,0.1429,0,0,0,0,0,0,1,0.142857142857143,1,0.1429,4,0.5714
1793,obicio,7,0,0,0,0,0,0,0,0,4,0.571428571428571,0,0,3,0.4286
1876,orior,7,0,0,0,0,0,0,0,0,1,0.142857142857143,0,0,6,0.8571
1904,pareo1,7,0,0,0,0,0,0,0,0,4,0.571428571428571,2,0.2857,1,0.1429
1961,perficio,7,3,0.4286,0,0,0,0,0,0,0,0,0,0,4,0.5714
1994,persequor1,7,0,0,0,0,1,0.1429,0,0,0,0,0,0,6,0.8571
2007,pertimesco1,7,0,0,2,0.2857,2,0.2857,0,0,3,0.428571428571429,0,0,0,0
2035,ploro1,7,1,0.1429,0,0,2,0.2857,0,0,1,0.142857142857143,0,0,3,0.4286
2041,polliceor1,7,0,0,0,0,0,0,0,0,1,0.142857142857143,1,0.1429,5,0.7143
2058,possideo1,7,2,0.2857,0,0,1,0.1429,0,0,4,0.571428571428571,0,0,0,0
2110,praesum,7,0,0,0,0,0,0,0,0,3,0.428571428571429,0,0,4,0.5714
2133,probo1,7,0,0,1,0.1429,0,0,0,0,3,0.428571428571429,2,0.2857,1,0.1429
2156,proficisco1,7,0,0,0,0,0,0,0,0,1,0.142857142857143,2,0.2857,4,0.5714
2176,promitto,7,0,0,0,0,0,0,0,0,1,0.142857142857143,0,0,6,0.8571
2189,propono,7,0,0,0,0,0,0,0,0,2,0.285714285714286,0,0,5,0.7143
2205,prosum1,7,0,0,0,0,0,0,0,0,2,0.285714285714286,5,0.7143,0,0
2241,quiesco,7,1,0.1429,0,0,0,0,0,0,0,0,1,0.1429,5,0.7143
2242,quiesco1,7,0,0,0,0,0,0,0,0,1,0.142857142857143,5,0.7143,1,0.1429
2255,recipio1,7,1,0.1429,0,0,0,0,0,0,0,0,1,0.1429,5,0.7143
2257,recito1,7,0,0,0,0,0,0,0,0,6,0.857142857142857,1,0.1429,0,0
2271,recuso,7,2,0.2857,0,0,0,0,0,0,0,0,3,0.4286,2,0.2857
2622,suscipio,7,0,0,0,0,0,0,0,0,2,0.285714285714286,1,0.1429,4,0.5714
2626,suspicio1,7,0,0,0,0,0,0,0,0,0,0,0,0,7,1
2634,taceo,7,0,0,0,0,0,0,0,0,1,0.142857142857143,0,0,6,0.8571
2661,timeo,7,1,0.1429,0,0,1,0.1429,0,0,0,0,0,0,5,0.7143
2713,tueor1,7,0,0,0,0,1,0.1429,0,0,0,0,0,0,6,0.8571
2740,valeo,7,1,0.1429,0,0,0,0,0,0,2,0.285714285714286,0,0,4,0.5714
2804,voco,7,0,0,0,0,0,0,0,0,4,0.571428571428571,1,0.1429,2,0.2857
2810,volvo1,7,0,0,0,0,0,0,0,0,2,0.285714285714286,1,0.1429,4,0.5714
5,abeo,6,0,0,0,0,0,0,0,0,2,0.333333333333333,1,0.1667,3,0.5
62,addo,6,0,0,0,0,0,0,0,0,6,1,0,0,0,0
78,adipiscor1,6,0,0,0,0,0,0,0,0,0,0,0,0,6,1
92,admitto1,6,0,0,0,0,1,0.1667,0,0,0,0,0,0,5,0.8333
95,admoveo,6,0,0,0,0,0,0,0,0,2,0.333333333333333,0,0,4,0.6667
132,aedifico1,6,3,0.5,0,0,1,0.1667,0,0,0,0,2,0.3333,0,0
155,aggredior,6,1,0.1667,0,0,0,0,0,0,0,0,1,0.1667,4,0.6667
175,alligo1,6,0,0,0,0,0,0,0,0,1,0.166666666666667,0,0,5,0.8333
201,animadverto1,6,1,0.1667,0,0,1,0.1667,0,0,3,0.5,1,0.1667,0,0
363,cesso1,6,0,0,0,0,3,0.5,0,0,2,0.333333333333333,0,0,1,0.1667
418,colligo1,6,0,0,0,0,0,0,0,0,2,0.333333333333333,0,0,4,0.6667
426,comedo1,6,2,0.3333,0,0,0,0,0,0,2,0.333333333333333,0,0,2,0.3333
447,comparo2,6,1,0.1667,0,0,0,0,0,0,1,0.166666666666667,2,0.3333,2,0.3333
536,congrego1,6,0,0,0,0,0,0,1,0.1667,2,0.333333333333333,1,0.1667,2,0.3333
610,contemno,6,0,0,0,0,1,0.1667,0,0,2,0.333333333333333,0,0,3,0.5
640,convoco1,6,1,0.1667,0,0,1,0.1667,0,0,3,0.5,0,0,1,0.1667
648,corripio1,6,0,0,0,0,0,0,0,0,2,0.333333333333333,0,0,4,0.6667
650,corrumpo,6,0,0,1,0.1667,1,0.1667,0,0,0,0,0,0,4,0.6667
658,creo1,6,0,0,0,0,1,0.1667,0,0,3,0.5,0,0,2,0.3333
676,curro,6,0,0,0,0,1,0.1667,0,0,1,0.166666666666667,0,0,4,0.6667
716,defero1,6,3,0.5,0,0,0,0,0,0,0,0,1,0.1667,2,0.3333
755,demitto1,6,0,0,0,0,0,0,0,0,1,0.166666666666667,0,0,5,0.8333
769,depono,6,1,0.1667,0,0,0,0,0,0,3,0.5,0,0,2,0.3333
777,deprehendo1,6,0,0,0,0,0,0,0,0,0,0,1,0.1667,5,0.8333
794,designo,6,0,0,0,0,0,0,0,0,1,0.166666666666667,0,0,5,0.8333
883,dissimulo1,6,0,0,0,0,0,0,0,0,0,0,2,0.3333,4,0.6667
898,diverto1,6,0,0,0,0,0,0,0,0,0,0,0,0,6,1
900,divido1,6,0,0,0,0,0,0,0,0,1,0.166666666666667,2,0.3333,3,0.5
908,doleo1,6,0,0,0,0,2,0.3333,0,0,2,0.333333333333333,0,0,2,0.3333
958,eicio1,6,4,0.6667,1,0.1667,1,0.1667,0,0,0,0,0,0,0,0
978,emitto1,6,2,0.3333,1,0.1667,0,0,0,0,2,0.333333333333333,0,0,1,0.1667
1050,exclamo1,6,0,0,0,0,0,0,0,0,5,0.833333333333333,1,0.1667,0,0
1090,expecto1,6,1,0.1667,0,0,1,0.1667,0,0,0,0,0,0,4,0.6667
1092,expedio1,6,0,0,0,0,0,0,0,0,1,0.166666666666667,2,0.3333,3,0.5
1097,experior,6,0,0,0,0,0,0,0,0,0,0,1,0.1667,5,0.8333
1135,exstruo,6,0,0,0,0,0,0,0,0,2,0.333333333333333,0,0,4,0.6667
1195,flagito,6,0,0,0,0,0,0,0,0,2,0.333333333333333,0,0,4,0.6667
1241,fungor,6,0,0,0,0,0,0,0,0,0,0,2,0.3333,4,0.6667
1263,gusto1,6,0,0,0,0,0,0,0,0,1,0.166666666666667,1,0.1667,4,0.6667
1270,haereo1,6,1,0.1667,0,0,0,0,0,0,3,0.5,1,0.1667,1,0.1667
1282,hortor,6,1,0.1667,0,0,0,0,0,0,2,0.333333333333333,0,0,3,0.5
1289,ignosco,6,0,0,0,0,0,0,0,0,1,0.166666666666667,0,0,5,0.8333
1307,immitto1,6,0,0,0,0,0,0,0,0,6,1,0,0,0,0
1317,impero,6,0,0,0,0,0,0,0,0,1,0.166666666666667,0,0,5,0.8333
1325,impleo1,6,0,0,1,0.1667,0,0,0,0,3,0.5,1,0.1667,1,0.1667
1387,ineo,6,0,0,0,0,0,0,0,0,4,0.666666666666667,1,0.1667,1,0.1667
1399,infundo1,6,0,0,0,0,0,0,0,0,0,0,0,0,6,1
1410,inhabito1,6,0,0,0,0,0,0,0,0,0,0,3,0.5,3,0.5
1432,inpello1,6,0,0,0,0,0,0,0,0,1,0.166666666666667,0,0,5,0.8333
1452,insequor,6,0,0,0,0,0,0,0,0,0,0,0,0,6,1
1497,interrogo,6,0,0,0,0,0,0,0,0,2,0.333333333333333,0,0,4,0.6667
1538,involvo1,6,0,0,0,0,0,0,0,0,1,0.166666666666667,0,0,5,0.8333
1551,jacio,6,1,0.1667,0,0,0,0,0,0,0,0,0,0,5,0.8333
1552,jacio1,6,0,0,0,0,0,0,0,0,0,0,1,0.1667,5,0.8333
1576,lacero1,6,0,0,0,0,0,0,0,0,4,0.666666666666667,0,0,2,0.3333
1610,libet,6,0,0,0,0,0,0,0,0,4,0.666666666666667,0,0,2,0.3333
1629,luceo1,6,0,0,0,0,0,0,0,0,4,0.666666666666667,2,0.3333,0,0
1748,neco1,6,0,0,0,0,0,0,0,0,0,0,0,0,6,1
1775,noto,6,0,0,1,0.1667,0,0,0,0,4,0.666666666666667,0,0,1,0.1667
1785,nuntio1,6,0,0,0,0,0,0,0,0,2,0.333333333333333,3,0.5,1,0.1667
1821,obsto1,6,1,0.1667,0,0,0,0,0,0,3,0.5,1,0.1667,1,0.1667
1869,opprimo1,6,1,0.1667,0,0,0,0,0,0,3,0.5,0,0,2,0.3333
1900,parco,6,2,0.3333,0,0,1,0.1667,1,0.1667,1,0.166666666666667,1,0.1667,0,0
1933,pendeo1,6,0,0,0,0,1,0.1667,0,0,0,0,0,0,5,0.8333
1959,perfero,6,0,0,0,0,0,0,1,0.1667,0,0,1,0.1667,4,0.6667
1981,permoveo1,6,0,0,0,0,0,0,0,0,1,0.166666666666667,1,0.1667,4,0.6667
2009,pertineo1,6,0,0,0,0,0,0,0,0,2,0.333333333333333,2,0.3333,2,0.3333
2079,praecipio1,6,1,0.1667,0,0,0,0,0,0,2,0.333333333333333,0,0,3,0.5
2115,praetereo1,6,1,0.1667,0,0,0,0,0,0,1,0.166666666666667,0,0,4,0.6667
2132,probo,6,0,0,0,0,1,0.1667,0,0,2,0.333333333333333,1,0.1667,2,0.3333
2153,profero1,6,0,0,0,0,2,0.3333,0,0,3,0.5,0,0,1,0.1667
2159,profiteor,6,1,0.1667,0,0,0,0,0,0,0,0,0,0,5,0.8333
2212,provideo1,6,0,0,0,0,1,0.1667,0,0,2,0.333333333333333,0,0,3,0.5
2217,publico,6,0,0,0,0,0,0,0,0,0,0,1,0.1667,5,0.8333
2234,quaeso,6,6,1,0,0,0,0,0,0,0,0,0,0,0,0
2279,redigo,6,0,0,0,0,0,0,0,0,5,0.833333333333333,0,0,1,0.1667
2302,rego1,6,1,0.1667,0,0,0,0,0,0,3,0.5,0,0,2,0.3333
2332,reperio,6,1,0.1667,0,0,0,0,0,0,3,0.5,0,0,2,0.3333
2354,requiesco1,6,0,0,0,0,0,0,0,0,2,0.333333333333333,2,0.3333,2,0.3333
2392,revoco,6,0,0,0,0,0,0,0,0,6,1,0,0,0,0
2477,servo,6,1,0.1667,0,0,0,0,0,0,2,0.333333333333333,0,0,3,0.5
2498,sollicito1,6,0,0,0,0,0,0,0,0,1,0.166666666666667,2,0.3333,3,0.5
2503,sono1,6,0,0,0,0,0,0,0,0,3,0.5,0,0,3,0.5
2543,studeo1,6,1,0.1667,0,0,1,0.1667,0,0,0,0,3,0.5,1,0.1667
2552,subeo,6,0,0,0,0,0,0,0,0,1,0.166666666666667,0,0,5,0.8333
2631,sustineo,6,0,0,0,0,0,0,1,0.1667,4,0.666666666666667,0,0,1,0.1667
2655,terreo,6,0,0,0,0,0,0,0,0,3,0.5,0,0,3,0.5
2656,terreo1,6,0,0,0,0,0,0,0,0,1,0.166666666666667,2,0.3333,3,0.5
2702,trepido1,6,0,0,0,0,0,0,0,0,0,0,0,0,6,1
2734,vaco,6,0,0,0,0,2,0.3333,0,0,4,0.666666666666667,0,0,0,0
2738,vado1,6,0,0,0,0,1,0.1667,0,0,3,0.5,0,0,2,0.3333
2747,veho1,6,0,0,0,0,0,0,0,0,3,0.5,1,0.1667,2,0.3333
2767,verso1,6,0,0,1,0.1667,1,0.1667,0,0,1,0.166666666666667,0,0,3,0.5
2774,vestio1,6,0,0,0,0,0,0,0,0,1,0.166666666666667,0,0,5,0.8333
2776,veto1,6,0,0,0,0,0,0,0,0,4,0.666666666666667,1,0.1667,1,0.1667
2779,vexo1,6,0,0,0,0,0,0,0,0,1,0.166666666666667,3,0.5,2,0.3333
